+-----------------------------------------------------------------------+
| Index | Dimensions |  QueryType |       v |           l |           r |
+-----------------------------------------------------------------------+
|     0 |        100 |          0 |      -  |          -  |          -  |
|     1 |        100 |          1 |      11 |          -  |          -  |
|     2 |        100 |          2 |      -  |  0.37232015 |  0.93475354 |
|     3 |        100 |          3 |       5 |  0.41462108 |  0.82657784 |
|     4 |        100 |          0 |      -  |          -  |          -  |
|     5 |        100 |          1 |       5 |          -  |          -  |
|     6 |        100 |          2 |      -  |  0.10546496 |  0.88857102 |
|     7 |        100 |          3 |      23 |  0.16199933 |  0.20283902 |
|     8 |        100 |          0 |      -  |          -  |          -  |
|     9 |        100 |          1 |       0 |          -  |          -  |
|    10 |        100 |          2 |      -  |  0.20334426 |  0.70740384 |
|    11 |        100 |          3 |       0 |  0.07943352 |  0.31717944 |
|    12 |        100 |          0 |      -  |          -  |          -  |
|    13 |        100 |          1 |      18 |          -  |          -  |
|    14 |        100 |          2 |      -  |  0.41332623 |  0.49200341 |
|    15 |        100 |          3 |      16 |  0.64317590 |  0.73995697 |
|    16 |        100 |          0 |      -  |          -  |          -  |
|    17 |        100 |          1 |       0 |          -  |          -  |
|    18 |        100 |          2 |      -  |  0.61057633 |  0.90969831 |
|    19 |        100 |          3 |       5 |  0.64106315 |  0.71452558 |
|    20 |        100 |          0 |      -  |          -  |          -  |
|    21 |        100 |          1 |       5 |          -  |          -  |
|    22 |        100 |          2 |      -  |  0.14415258 |  0.97088975 |
|    23 |        100 |          3 |       5 |  0.13035582 |  0.97931546 |
|    24 |        100 |          0 |      -  |          -  |          -  |
|    25 |        100 |          1 |       6 |          -  |          -  |
|    26 |        100 |          2 |      -  |  0.14512777 |  0.48121488 |
|    27 |        100 |          3 |       0 |  0.07866912 |  0.12983848 |
|    28 |        100 |          0 |      -  |          -  |          -  |
|    29 |        100 |          1 |       5 |          -  |          -  |
|    30 |        100 |          2 |      -  |  0.44799817 |  0.48080444 |
|    31 |        100 |          3 |       2 |  0.32888466 |  0.89772785 |
|    32 |        100 |          0 |      -  |          -  |          -  |
|    33 |        100 |          1 |       5 |          -  |          -  |
|    34 |        100 |          2 |      -  |  0.08254564 |  0.47703582 |
|    35 |        100 |          3 |       0 |  0.31736600 |  0.35603246 |
|    36 |        100 |          0 |      -  |          -  |          -  |
|    37 |        100 |          1 |       5 |          -  |          -  |
|    38 |        100 |          2 |      -  |  0.59855551 |  0.84214646 |
|    39 |        100 |          3 |      14 |  0.31611755 |  0.63426006 |
|    40 |        100 |          0 |      -  |          -  |          -  |
|    41 |        100 |          1 |       5 |          -  |          -  |
|    42 |        100 |          2 |      -  |  0.16999342 |  0.91334486 |
|    43 |        100 |          3 |       5 |  0.28848568 |  0.56001914 |
|    44 |        100 |          0 |      -  |          -  |          -  |
|    45 |        100 |          1 |       2 |          -  |          -  |
|    46 |        100 |          2 |      -  |  0.17529590 |  0.84432673 |
|    47 |        100 |          3 |       5 |  0.42707762 |  0.44737694 |
|    48 |        100 |          0 |      -  |          -  |          -  |
|    49 |        100 |          1 |      20 |          -  |          -  |
|    50 |        100 |          2 |      -  |  0.32118306 |  0.69656688 |
|    51 |        100 |          3 |      11 |  0.15044841 |  0.43277442 |
|    52 |        100 |          0 |      -  |          -  |          -  |
|    53 |        100 |          2 |      -  |  0.45147333 |  0.80708629 |
|    54 |        100 |          3 |       0 |  0.90446943 |  0.97027761 |
|    55 |        100 |          0 |      -  |          -  |          -  |
|    56 |        100 |          1 |       2 |          -  |          -  |
|    57 |        100 |          2 |      -  |  0.17347462 |  0.61200833 |
|    58 |        100 |          3 |       5 |  0.36787888 |  0.80589628 |
|    59 |        100 |          0 |      -  |          -  |          -  |
|    60 |        100 |          1 |       5 |          -  |          -  |
|    61 |        100 |          2 |      -  |  0.39416546 |  0.90704906 |
|    62 |        100 |          3 |       0 |  0.65400678 |  0.82396388 |
|    63 |        100 |          0 |      -  |          -  |          -  |
|    64 |        100 |          1 |       0 |          -  |          -  |
|    65 |        100 |          2 |      -  |  0.19615595 |  0.57564425 |
|    66 |        100 |          3 |       7 |  0.51411295 |  0.87159252 |
|    67 |        100 |          0 |      -  |          -  |          -  |
|    68 |        100 |          1 |       0 |          -  |          -  |
|    69 |        100 |          2 |      -  |  0.21103781 |  0.37919179 |
|    70 |        100 |          3 |      20 |  0.22325332 |  0.35242015 |
|    71 |        100 |          0 |      -  |          -  |          -  |
|    72 |        100 |          1 |       5 |          -  |          -  |
|    73 |        100 |          2 |      -  |  0.42817584 |  0.86148071 |
|    74 |        100 |          3 |       5 |  0.49566209 |  0.58119583 |
|    75 |        100 |          0 |      -  |          -  |          -  |
|    76 |        100 |          1 |       0 |          -  |          -  |
|    77 |        100 |          2 |      -  |  0.32905611 |  0.89358407 |
|    78 |        100 |          3 |       0 |  0.34641173 |  0.94459409 |
|    79 |        100 |          0 |      -  |          -  |          -  |
|    80 |        100 |          1 |       5 |          -  |          -  |
|    81 |        100 |          2 |      -  |  0.26505607 |  0.27985325 |
|    82 |        100 |          3 |       5 |  0.15958810 |  0.48400429 |
|    83 |        100 |          0 |      -  |          -  |          -  |
|    84 |        100 |          1 |       0 |          -  |          -  |
|    85 |        100 |          2 |      -  |  0.79484457 |  0.82489365 |
|    86 |        100 |          3 |       0 |  0.76888269 |  0.97585034 |
|    87 |        100 |          0 |      -  |          -  |          -  |
|    88 |        100 |          1 |       5 |          -  |          -  |
|    89 |        100 |          2 |      -  |  0.64745986 |  0.68180102 |
|    90 |        100 |          3 |      11 |  0.24214080 |  0.64064664 |
|    91 |        100 |          0 |      -  |          -  |          -  |
|    92 |        100 |          1 |       5 |          -  |          -  |
|    93 |        100 |          2 |      -  |  0.45905292 |  0.69036788 |
|    94 |        100 |          0 |      -  |          -  |          -  |
|    95 |        100 |          1 |       2 |          -  |          -  |
|    96 |        100 |          2 |      -  |  0.03667272 |  0.50849682 |
|    97 |        100 |          3 |       5 |  0.09054880 |  0.71783739 |
|    98 |        100 |          0 |      -  |          -  |          -  |
|    99 |        100 |          1 |       5 |          -  |          -  |
|   100 |        100 |          2 |      -  |  0.08173484 |  0.19850364 |
|   101 |        100 |          3 |      14 |  0.27797550 |  0.89191508 |
|   102 |        100 |          0 |      -  |          -  |          -  |
|   103 |        100 |          2 |      -  |  0.28640118 |  0.54977918 |
|   104 |        100 |          3 |       6 |  0.16852207 |  0.57294458 |
|   105 |        100 |          0 |      -  |          -  |          -  |
|   106 |        100 |          1 |       0 |          -  |          -  |
|   107 |        100 |          2 |      -  |  0.23381595 |  0.40179849 |
|   108 |        100 |          3 |       5 |  0.40735915 |  0.90715390 |
|   109 |        100 |          0 |      -  |          -  |          -  |
|   110 |        100 |          1 |       5 |          -  |          -  |
|   111 |        100 |          2 |      -  |  0.45698556 |  0.69748360 |
|   112 |        100 |          3 |       0 |  0.74504268 |  0.75598145 |
|   113 |        100 |          0 |      -  |          -  |          -  |
|   114 |        100 |          1 |      17 |          -  |          -  |
|   115 |        100 |          2 |      -  |  0.37396494 |  0.98493558 |
|   116 |        100 |          3 |       5 |  0.14497347 |  0.27504894 |
|   117 |        100 |          0 |      -  |          -  |          -  |
|   118 |        100 |          1 |       0 |          -  |          -  |
|   119 |        100 |          2 |      -  |  0.13999470 |  0.79565436 |
|   120 |        100 |          3 |      38 |  0.19813757 |  0.63073552 |
|   121 |        100 |          0 |      -  |          -  |          -  |
|   122 |        100 |          1 |       4 |          -  |          -  |
|   123 |        100 |          2 |      -  |  0.27436319 |  0.72384477 |
|   124 |        100 |          3 |      14 |  0.24426261 |  0.63339782 |
|   125 |        100 |          0 |      -  |          -  |          -  |
|   126 |        100 |          1 |      11 |          -  |          -  |
|   127 |        100 |          2 |      -  |  0.10352972 |  0.57943201 |
|   128 |        100 |          3 |       4 |  0.63192350 |  0.86613774 |
|   129 |        100 |          0 |      -  |          -  |          -  |
|   130 |        100 |          1 |       0 |          -  |          -  |
|   131 |        100 |          2 |      -  |  0.09538134 |  0.57428783 |
|   132 |        100 |          3 |       2 |  0.50285947 |  0.77436167 |
|   133 |        100 |          0 |      -  |          -  |          -  |
|   134 |        100 |          1 |       5 |          -  |          -  |
|   135 |        100 |          2 |      -  |  0.01085710 |  0.31196168 |
|   136 |        100 |          3 |       0 |  0.35085604 |  0.52037144 |
|   137 |        100 |          0 |      -  |          -  |          -  |
|   138 |        100 |          1 |       5 |          -  |          -  |
|   139 |        100 |          2 |      -  |  0.56111532 |  0.93580335 |
|   140 |        100 |          3 |       0 |  0.09755862 |  0.77359325 |
|   141 |        100 |          0 |      -  |          -  |          -  |
|   142 |        100 |          1 |       5 |          -  |          -  |
|   143 |        100 |          2 |      -  |  0.18463427 |  0.75613070 |
|   144 |        100 |          3 |       5 |  0.03446318 |  0.12379577 |
|   145 |        100 |          0 |      -  |          -  |          -  |
|   146 |        100 |          1 |       6 |          -  |          -  |
|   147 |        100 |          2 |      -  |  0.13386527 |  0.16619857 |
|   148 |        100 |          3 |       5 |  0.34159330 |  0.45097715 |
|   149 |        100 |          0 |      -  |          -  |          -  |
|   150 |        100 |          1 |       0 |          -  |          -  |
|   151 |        100 |          2 |      -  |  0.08990439 |  0.85117221 |
|   152 |        100 |          3 |       4 |  0.42582005 |  0.74817997 |
|   153 |        100 |          0 |      -  |          -  |          -  |
|   154 |        100 |          1 |       2 |          -  |          -  |
|   155 |        100 |          2 |      -  |  0.03806238 |  0.35568151 |
|   156 |        100 |          3 |       5 |  0.44131911 |  0.60312480 |
|   157 |        100 |          0 |      -  |          -  |          -  |
|   158 |        100 |          1 |       5 |          -  |          -  |
|   159 |        100 |          2 |      -  |  0.65985382 |  0.89923853 |
|   160 |        100 |          3 |       5 |  0.84008515 |  0.88585722 |
|   161 |        100 |          0 |      -  |          -  |          -  |
|   162 |        100 |          1 |       5 |          -  |          -  |
|   163 |        100 |          2 |      -  |  0.25608885 |  0.66449678 |
|   164 |        100 |          3 |       4 |  0.00680308 |  0.76497591 |
|   165 |        100 |          0 |      -  |          -  |          -  |
